2025-10-18 18:09:26,612 | INFO | collector | Tesseract path set: C:\\Program Files\\Tesseract-OCR\\tesseract.exe
2025-10-18 18:09:26,676 | INFO | collector | Kayıt dosyası: C:\Users\Talha Keskin\Documents\Projects\Bigbang\src\readings.txt
2025-10-18 18:09:29,789 | INFO | collector | Kamera açıldı: index=0
2025-10-18 18:11:15,675 | INFO | processor | Processor başlıyor. Source: C:\Users\Talha Keskin\Documents\Projects\Bigbang\src\readings.txt
2025-10-18 18:11:15,764 | INFO | processor | Aggregates updated → minute_agg.csv , hour_agg.csv
2025-10-18 18:12:15,792 | INFO | processor | Aggregates updated → minute_agg.csv , hour_agg.csv
2025-10-18 18:13:15,821 | INFO | processor | Aggregates updated → minute_agg.csv , hour_agg.csv
2025-10-18 18:14:15,851 | INFO | processor | Aggregates updated → minute_agg.csv , hour_agg.csv
2025-10-18 18:15:15,891 | INFO | processor | Aggregates updated → minute_agg.csv , hour_agg.csv
2025-10-18 18:16:15,939 | INFO | processor | Aggregates updated → minute_agg.csv , hour_agg.csv
2025-10-18 18:17:16,015 | INFO | processor | Aggregates updated → minute_agg.csv , hour_agg.csv
2025-10-18 18:17:58,309 | INFO | collector | Collector kapandı.
2025-10-18 18:41:11,687 | INFO | collector | Tesseract path set: C:\\Program Files\\Tesseract-OCR\\tesseract.exe
2025-10-18 18:41:11,740 | INFO | collector | Kayıt dosyası: C:\Users\Talha Keskin\Documents\Projects\Bigbang\src\readings.txt
2025-10-18 18:41:14,834 | INFO | collector | Kamera açıldı: index=0
2025-10-18 18:42:02,125 | INFO | collector | Collector kapandı.
2025-10-18 18:48:59,445 | INFO | collector | Tesseract path set: C:\\Program Files\\Tesseract-OCR\\tesseract.exe
2025-10-18 18:48:59,514 | INFO | collector | Kayıt dosyası: C:\Users\Talha Keskin\Documents\Projects\Bigbang\src\readings.txt
2025-10-18 18:49:02,634 | INFO | collector | Kamera açıldı: index=0
2025-10-18 18:49:36,554 | INFO | collector | Collector kapandı.
2025-10-18 23:00:33,222 | INFO | collector | Tesseract path set: C:\\Program Files\\Tesseract-OCR\\tesseract.exe
2025-10-18 23:00:33,301 | INFO | collector | Kayıt dosyası: C:\Users\Talha Keskin\Documents\Projects\Bigbang\src\readings.txt
2025-10-18 23:00:37,784 | INFO | collector | Kamera açıldı: index=0
2025-10-18 23:22:24,176 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:24,278 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:24,379 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:24,480 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:24,582 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:24,685 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:24,785 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:24,887 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:24,988 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:25,089 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:25,190 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:25,290 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:25,391 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:25,491 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:25,592 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:25,897 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:25,997 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,098 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,199 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,299 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,400 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,500 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,601 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,702 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,803 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:26,904 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:27,004 | WARNING | collector | Kare alınamadı. 100ms bekle.
